id,msid,title,abstract,cite_count,DOI,location
110,54093,'Thumbs up? Sentiment Classification using Machine Learning Techniques',"'We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative. Using movie reviews as data, we find that standard machine learning  techniques definitively outperform human-produced baselines. However, the three machine learning  methods we employed (Naive Bayes, maximum entropy  classification, and support vector  machines) do not perform as well on sentiment classification  as on traditional topic-based categorization. We conclude by examining factors that make the sentiment classification  problem more challenging.'",812,null,'Computing Research Repository - CORR'
111,57347,'Robotics-based location sensing using wireless ethernet',"'A key subproblem in the construction of location-aware systems is the determination of the position of a mobile device. This paper describes the design, implementation and analysis of a system for determining position inside a building from measured RF signal strengths of packets on an IEEE 802.11b wireless Ethernet network. Previous approaches to location awareness  with RF signals have been severely hampered by non-linearity, noise and complex correlations due to multi-path effects, interference and absorption. The design of our system begins with the observation that determining position from complex, noisy and non-linear signals is a well-studied problem in the field of robotics. Using only off-the-shelf hardware, we achieve robust position estimation  to within a meter in our experimental context and after adequate training of our system. We can also coarsely determine our orientation and can track our position as we move. By applying recent advances in probabilistic inference  of position and sensor fusion  from noisy signals, we show that the RF emissions from base stations as measured by off-the-shelf wireless Ethernet cards are sufficiently rich in information to permit a mobile device  to reliably track its location.'",306,'10.1145/570645.570674','Mobile Computing and Networking - MOBICOM'
112,58078,'A two-tier data dissemination model for large-scale wireless sensor networks',"'Sink mobility brings new challenges to large-scale sensor networking. It suggests that information about each mobile sink's location be continuously propagated through the sensor field to keep all sensor nodes  updated with the direction of forwarding future data reports. Unfortunately frequent location updates from multiple sinks can lead to both excessive drain of sensors' limited battery power supply  and increased collisions in wireless transmissions. In this paper we describe TTDD, a Two-Tier Data Dissemination  approach that provides scalable and efficient data delivery to multiple mobile sinks. Each data source in TTDD proactively builds a grid structure which enables mobile sinks to continuously receive data on the move by flooding queries within a local cell only. TTDD's design exploits the fact that sensor nodes  are stationary and location-aware to construct and maintain the grid structures with low overhead. We have evaluated TTDD performance through both analysis and extensive simulation experiments. Our results show that TTDD handles multiple mobile sinks efficiently with performance comparable with that of stationary sinks.'",534,'10.1145/570645.570664','Mobile Computing and Networking - MOBICOM'
113,60590,'Robust Positioning Algorithms for Distributed Ad-Hoc Wireless Sensor Networks',"'A distributed algorithm  for determining the positions of nodes in an ad-hoc, wireless sensor network  is explained in detail. Details regarding the implementation of such an algorithm are also discussed. In a 400 node network in which the nodes are randomly placed within a 100x100 square, the algorithm is shown to achieve average position errors of less than 33% of a node's radio range in the presence of 5% range measurement error  when at least 5% of the nodes are anchor nodes (with known position) and the average connectivity of a node is greater than 7 nodes. It is shown that the algorithm performs well in networks in which nodes are connected to at least 7 one-hop neighbors on average and where average range errors are less than 40%.'",457,null,'USENIX Technical Conference - USENIX'
114,70324,'Bricks: Laying the Foundations for Graspable User Interfaces',"'We introduce the concept of Graspable User Interfaces that allow direct control of electronic or virtual objects through physical handles for control. These physical artifacts, which we call ""bricks,"" are essentially new input devices that can be tightly coupled or ""attached"" to virtual objects for manipulation or for expressing action (e.g., to set parameters or for initiating processes). Our bricks operate on top of a large horizontal display surface known as the ""ActiveDesk."" We present four stages in the development of Graspable UIs: (1) a series of exploratory studies on hand gestures and grasping; (2) interaction simulations using mock-ups and rapid prototyping  tools; (3) a working prototype and sample application called GraspDraw; and (4) the initial integrating of the Graspable UI concepts into a commercial application. Finally, we conclude by presenting a design space  for Bricks which lay the foundation for further exploring and developing Graspable User Interfaces.'",434,'10.1145/223904.223964','Computer Human Interaction - CHI'
115,78172,'A survey on position-based routing in mobile ad hoc networks',"'We present an overview of ad hoc routing  protocols that make forwarding decisions based on the geographical position of a packet's destination. Other than the destination's position, each node need know only its own position and the position of its one-hop neighbors in order to forward packets. Since it is not necessary to maintain explicit routes, position-based routing does scale well even if the network is highly dynamic. This is a major advantage in a mobile ad hoc network  where the topology may change frequently. The main prerequisite for position-based routing is that a sender can obtain the current position of the destination. Therefore, previously proposed location services are discussed in addition to position-based packet forwarding  strategies. We provide a qualitative comparison of the approaches in both areas and investigate opportunities for future research'",762,'10.1109/65.967595','IEEE Network - NETWORK'
116,82453,'An Infrastructure Approach to Context-Aware Computing',"' The Context Toolkit (Dey, Salber, and Abowd 2001 [this special issue]) is only oneof many possible architectures for supporting context-aware applications. In this essay,we look at the trade-offs involved with a service infrastructure approach to context-awarecomputing. We describe the advantages that a service infrastructure for contextawarenesshas over other approaches, outline some of the core technical challenges thatmust be addressed before such an infrastructure can be built, and... '",223,'10.1207/S15327051HCI16234_11','Human-computer Interaction'
117,87288,"'People, places, things: Web presence for the real world'","'The convergence of Web technology, wireless networks, and portable client devices provides new design opportunities for computer/communications systems. In the HP Labs' ""Cooltown"" project we have been exploring these opportunities through an infrastructure to support ""web presence"" for people, places and things. We put web servers into things like printers and put information into web servers about things like artwork; we group physically related things into places embodied in web servers. Using URLs for addressing, physical URL beaconing and sensing of URLs for discovery, and localized web servers for directories, we can create a location-aware but ubiquitous system to support nomadic users. On top of this infrastructure we can leverage Internet connectivity to support communications services. Web presence bridges the World Wide Web  and the physical world we inhabit, providing a model for supporting nomadic users without a central control point.'",367,null,'Workshop on Mobile Computing Systems and Applications - WMCSA'
118,88590,'Single display groupware: a model for co-present collaboration',"'We introduce a model for supporting collaborative work  betweenpeople that are physically close to each other. We call this modelSingle Display Groupware (SDG). In this paper, we describe themodel, comparing it to more traditional remote collaboration, Wedescribe the requirements that SDG places on computer technology,and our understanding of the benefits and costs of SDG systems.Finally, we describe a prototype SDG system that we built and theresults of a usability test we ran with 60 elementary schoolchildren.'",282,'10.1145/302979.303064','Computer Human Interaction - CHI'
119,91255,'Quantifying Qualitative Analyses of Verbal Data: A Practical Guide',"'This article provides one example of a method of analyzing qualitative data  in an objective and quantifiable way. Although the application of the method is illustrated in the context of verbal data such as explanations, interviews, problem-solving protocols, and retrospective reports, in principle, the mechanics of the method can be adapted for coding other types of qualitative data  such as gestures and videotapes. The mechanics of the method we outlined in 8 concrete step. Although verbal analyses can be used for many purposes, the main goal of the analyses discussed here is to formulate an understanding of the representation of the knowledge used in cognitive performances and how that representation changes with learning This can be contrasted with another method or analyzing verbal protocols, the goal of which is to validate the cognitive processes of human performance, often as embodied in a computational model. For a variety of reasons, there has been an increasing need in cognitive science  and educational research to collect and analyze ""messy"" data. Messy data refer to such things as verbal explanations, observations, and videotapings, as well as gestures. One reason for the need to collect this kind of'",356,'10.1207/s15327809jls0603_1','Journal of The Learning Sciences - J LEARN SCI'
120,93982,'Privacy by Design - Principles of Privacy-Aware Ubiquitous Systems',"'This paper tries to serve as an introductory reading to privacy issues in the field of ubiquitous computing. It develops six principles for guiding system design, based on a set of fair information practices common in most privacy legis- lation in use today: notice, choice and consent, proximity and locality, anonymity and pseudonymity, security, and access and recourse. A brief look at the history of privacy protection, its legal status, and its expected utility  is provided as a background.'",289,'10.1007/3-540-45427-6_23','Ubiquitous Computing/Handheld and Ubiquitous Computing - UbiComp(HUC)'
121,95864,'Phidgets: easy development of physical interfaces through physical widgets',"'Physical widgets or phidgets are to physical user interfaces what widgets are to graphical user interfaces. Similar to widgets, phidgets abstract and package input and output devices: they hide implementation and construction details, they expose functionality through a well-defined API, and they have an (optional) on-screen interactive interface for displaying and controlling device state. Unlike widgets, phidgets also require: a connection manager to track how devices appear on-line; a way to link a software phidget with its physical counterpart; and a simulation mode to allow the programmer to develop, debug and test a physical interface  even when no physical device is present. Our evaluation shows that everyday programmers using phidgets can rapidly develop physical interfaces.'",257,'10.1145/502348.502388','User Interface Software and Technology - UIST'
122,99929,'The simulation and evaluation of dynamic voltage scaling algorithms','The reduction of energy consumption  in microprocessors can be accomplished without impacting the peak performance through the use of dynamic voltage scaling  (DVS). This approach varies the processor voltage under software control to meet dynamically varying performance requirements. This paper presents a foundation for the simulation and analysis of DVS algorithms. These algorithms are applied to a benchmark suite specifically targeted for PDA devices.',394,'10.1145/280756.280790','International Symposium on Low Power Electronics and Design - ISLPED'
123,105157,'An Overview of AspectJ',"'AspectJ is a simple and practical aspect-oriented extension to Java. With just a few new constructs, AspectJ provides support for modular implementation of a range of crosscutting concerns. In AspectJ's dynamic join point model, join points are well-defined points in the execution of the program; pointcuts are collections of join points; advice are special method-like constructs that can be attached to pointcuts; and aspects are modular units of crosscutting implementation, comprising pointcuts, advice, and ordinary Java member declarations. AspectJ code is compiled into standard Java bytecode. Simple extensions to existing Java development environments make it possible to browse the crosscutting structure of aspects in the same kind of way as one browses the inheritance structure of classes. Several examples show that AspectJ is powerful, and that programs written using it are easy to understand.'",1885,'10.1007/3-540-45337-7_18','European Conference on Object-Oriented Programming - ECOOP'
124,108196,null,null,null,null,null
125,110383,'i-LAND: an interactive landscape for creativity and innovation',"'We describe the i-LAND environment which constitutes an exampleof our vision of the workspaces of the future, in this casesupporting cooperative work  of dynamic teams with changing needs.i-LAND requires and provides new forms of human-computerinteraction and new forms of computer-supported cooperative work.Its design is based on an integration of information andarchitectural spaces, implications of new work practices and anempirical requirements study informing our design. i-LAND consistsof several roomware components, i.e. computer-aug- mented objectsintegrating room elements with information technology. We presentthe current realization of i-LAND in terms of an interactiveelectronic wall, an interactive table, two computer-enhancedchairs, and two bridges for the Passage-mechanism. This iscomplemented by the description of the creativity supportapplication and the technological infrastructure. The paper isaccompanied by a video figure in the CHI99 video program.'",383,'10.1145/302979.303010','Computer Human Interaction - CHI'
126,112517,'A Meta-Study of Algorithm Visualization Effectiveness',"' Algorithm visualization  (AV) technology graphically illustrates how algorithms work. Despite the intuitiveappeal of the technology, it has failed to catch on in mainstream computer science education. Some have attributedthis failure to the mixed results of experimental studies designed to substantiate AV technology'seducational effectiveness. However, while several integrative reviews of AV technology have appeared,none has focused specifically on the software's effectiveness by analyzing... '",247,'10.1006/jvlc.2002.0237','Journal of Visual Languages and Computing - VLC'
127,117200,'Mining the network value of customers',"'One of the major applications of data mining  is in helping companies determine which potential customers to market to. If the expected profit from a customer is greater than the cost of marketing to her, the marketing action for that customer is executed. So far, work in this area has considered only the intrinsic value of the customer (i.e, the expected profit from sales to her). We propose to model also the customer's network value: the expected profit from sales to other customers she may influence to buy, the customers those may influence, and so on recursively. Instead of viewing a market as a set of independent entities, we view it as a social network  and model it as a Markov random field. We show the advantages of this approach using a social network  mined from a collaborative filtering  database. Marketing that exploits the network value of customers---also known as viral marketing---can be extremely effective, but is still a black art. Our work can be viewed as a step towards providing a more solid foundation for it, taking advantage of the availability of large relevant databases.'",340,'10.1145/502512.502525','Knowledge Discovery and Data Mining - KDD'
128,117791,'The Cricket location-support system',"'This paper presents the design, implementation, and evaluation of Cricket, a location-support system for in-building, mobile, location- dependent applications. It allows applications running on mobile and static nodes to learn their physical location by using listeners that hear and analyze information from beacons spread throughout the building. Cricket is the result of several design goals, including user privacy, decentralized administration, network heterogeneity, and low cost. Rather than explicitly tracking user location, Cricket helps devices learn where they are and lets them decide whom to advertise this information to; it does not rely on any centralized management or control and there is no explicit coordination be- tween beacons; it provides information to devices regardless of their type of network connectivity; and each Cricket device is made from off-the-shelf components and costs less than U.S. $10. We describe the randomized algorithm  used by beacons to transmit information, the use of concurrent radio and ultrasonic signals to infer distance, the listener inference algorithms to overcome multipath and inter- ference, and practical beacon configuration and positioning tech- niques that improve accuracy. Our experience with Cricket shows that several location-dependent applications such as in-building ac- tive maps and device control can be developed with little effort or manual configuration.'",1746,'10.1145/345910.345917','Mobile Computing and Networking - MOBICOM'
129,119223,'GPS-less low-cost outdoor localization for very small devices',"'Instrumenting the physical world through large networks of wireless sensor  nodes, particularly for applications like environmental monitoring  of water and soil, requires that these nodes be very small, lightweight, untethered, and unobtrusive. The problem of localization, that is, determining where a given node is physically located in a network, is a challenging one, and yet extremely crucial for many of these applications. Practical considerations such as the small size, form factor, cost and power constraints of nodes preclude the reliance on GPS of all nodes in these networks. We review localization techniques and evaluate the effectiveness of a very simple connectivity metric method for localization in outdoor environments that makes use of the inherent RF communications capabilities of these devices. A fixed number of reference points in the network with overlapping regions of coverage transmit periodic beacon signals. Nodes use a simple connectivity metric, which is more robust to environmental vagaries, to infer proximity to a given subset of these reference points. Nodes localize themselves to the centroid of their proximate reference points. The accuracy of localization is then dependent on the separation distance between two-adjacent reference points and the transmission range of these reference points. Initial experimental results show that the accuracy for 90 percent of our data points is within one-third of the separation distance. However, future work is needed to extend the technique to more cluttered environments'",1531,'10.1109/98.878533','IEEE Personal Communications - IEEE Pers. Commun.'
130,121078,'Location Systems for Ubiquitous Computing',"' Emerging mobile computing applications often need to know where things are physically located. To meet this need, many different location systems and technologies have been developed. In this survey we present the basic techniques used for location-sensing, describe a taxonomy of location system properties, present a survey of research and commercial location systems that define the field, show how the taxonomy can be used to evaluate location-sensing systems, and offer suggestions for future... '",1392,'10.1109/2.940014','IEEE Computer - COMPUTER'
131,123796,'Dynamic Queries for Visual Information Seeking',"'Dynamic queries are a novel approach to information seeking  that may enable users to cope with information overload. They allow users to see an overview of the database, rapidly (100 msec updates) explore and conveniently filter out unwanted information. Users fly through information spaces by incrementally adjusting a query (with sliders, buttons, and other filters) while continuously viewing the changing results. Dynamic queries on the chemical table of elements, computer directories, and a real estate  database were built and tested in three separate exploratory experiments. These results show statistically significant performance improvements and user enthusiasm more commonly seen with video games. Widespread application seems possible but research issues remain in database and display algorithms, and user interface  design. Challenges include methods for rapidly displaying and changing many points, colors, and areas; multi- dimensional pointing; incorporation of sound and visual display techniques that increase user comprehension; and integration with existing database systems.'",340,'10.1109/52.329404','IEEE Software - SOFTWARE'
132,124971,'Item-based collaborative filtering recommendation algorithms',"'Recommender systems apply knowledge discovery  techniques to the problem of making personalized recom- mendations for information, products or services during a live interaction. These systems, especially the k-nearest neighbor collaborative filtering  based ones, are achieving widespread success on the Web. The tremendous growth in the amount of available information and the number of visitors to Web sites in recent years poses some key challenges for recommender systems. These are: producing high quality recommendations, performing many recommendations per second for millions of users and items and achieving high coverage in the face of data sparsity. In traditional collaborative filtering  systems the amount of work increases with the number of participants in the system. New recommender system  technologies are needed that can quickly produce high quality recommendations, even for very large-scale problems. To address these issues we have explored item-based collaborative filtering  techniques. Item- based techniques first analyze the user-item matrix to identify relationships between different items, and then use these relationships to indirectly compute recommendations for users. In this paper we analyze different item-based recommendation generation algorithms. We look into different techniques for computing item-item similarities (e.g., item-item correlation vs. cosine similarities between item vec- tors) and different techniques for obtaining recommendations from them (e.g., weighted sum vs. regression model). Finally, we experimentally evaluate our results and compare them to the basic k-nearest neighbor approach. Our experiments suggest that item-based algorithms provide dramatically better performance than user-based algorithms, while at the same time providing better quality than the best available user-based algorithms.'",1104,'10.1145/371920.372071','World Wide Web Conference Series - WWW'
133,125260,'SIMPLIcity: Semantics-Sensitive Integrated Matching for Picture LIbraries',"'The need for efficient content-based image retrieval  has increased tremendously in many application areas such as biomedicine, military, commerce, education, and Web image classification  and searching. We present here SIMPLIcity (Semantics- sensitive Integrated Matching for Picture LIbraries), an image retrieval  system, which uses semantics classification methods, a wavelet-based approach for feature extraction, and integrated region matching based upon image segmentation. As in other region- based retrieval systems, an image is represented by a set of regions, roughly corresponding to objects, which are characterized by color, texture, shape, and location. The system classifies images into semantic categories, such as textured-nontextured, graph- photograph. Potentially, the categorization enhances retrieval by permitting semantically-adaptive searching methods and narrowing down the searching range in a database. A measure for the overall similarity between images is developed using a region-matching scheme that integrates properties of all the regions in the images. Compared with retrieval based on individual regions, the overall similarity approach 1) reduces the adverse effect  of inaccurate segmentation, 2) helps to clarify the semantics of a particular region, and 3) enables a simple querying interface for region-based image retrieval  systems. The application of SIMPLIcity to several databases, including a database of about 200,000 general-purpose images, has demonstrated that our system performs significantly better and faster than existing ones. The system is fairly robust to image alterations.'",877,'10.1109/34.955109','IEEE Transactions on Pattern Analysis and Machine Intelligence - PAMI'
134,135396,'ICrafter: A Service Framework for Ubiquitous Computing Environments',"'In this paper, we propose ICrafter, a framework for services and their user interfaces in a class of ubiquitous computing  environments. The chief objective of ICrafter is to let users flexibly interact with the services in their environment using a variety of modalities and input devices. We extend existing service frameworks in three ways. First, to ooad services and user input devices, ICrafter provides infrastructure support for UI selection, generation, and adaptation. Second, ICrafter al- lows UIs to be associated with service patterns for on-the-fly aggregation of services. Finally, ICrafter facilitates the design of service UIs that are portable but still reflect the context of the local environment. In addition, we also focus on the system properties such as incremental deployability and robustness that are critical for ubiquitous computing  environments. We describe the goals and architecture of ICrafter, a prototype imple- mentation that validates its design, and the key lessons learnt from our experiences.'",200,'10.1007/3-540-45427-6_7','Ubiquitous Computing/Handheld and Ubiquitous Computing - UbiComp(HUC)'
135,140889,'Aspect-Oriented Programming is Quantification and Obliviousness',"'This paper proposes that the distinguishing characteristic of Aspect-Oriented Programming (AOP) systems is that they allow programming by making quantified programmatic assertions over programs written by programmers oblivious to such assertions. Thus, AOP systems can be analyzed with respect to three critical dimensions: the kinds of quantifications allowed, the nature of the actions that can be asserted, and the mechanism for combining base-level actions with as- serted actions. Consequences of this perspective are the recognition that certain systems are not AOP and that some mechanisms are expressive enough to allow programming an AOP system within them. A corollary is that while AOP can be applied to Object-Oriented Programming, it is an independent concept applicable to other programming styles.'",424,null,'Aspect-Oriented Software Development - AOSD'
136,142598,'Modern Information Retrieval',"' Information retrieval  (IR) has changed considerably in the last years with the expansion of the Web (World Wide Web) and the advent of modern and inexpensive graphical user interfaces and mass storage devices. As a result, traditional IR textbooks have become quite out-of-date which has led to the introduction of new IR books recently. Nevertheless, we believe that there is still great need of a book that approaches the field in a rigorous and complete way from a computer-science perspective... '",4930,null,null
137,144262,'Adding Generic Contextual Capabilities to Wearable Computers',"'Context-awareness has an increasingly important role to play in the development of wearable computing systems. In order to better define this role we have identified four generic contextual capabilities: sensing, adaptation, resource discovery, and augmentation. A prototype application has been constructed to explore how some of these capabilities could be deployed in a wearable system designed to aid an ecologist's observations of giraffe in a Kenyan game reserve. However, despite the benefits of context-awareness demonstrated in this prototype, widespread innovation of these capabilities is currently stifled by the difficulty in obtaining the contextual data. To remedy this situation the Contextual Information  Service (CIS) is introduced. Installed on the user's wearable computer, the CIS provides a common point of access for clients to obtain, manipulate and model contextual information  independently of the underlying plethora of data formats and sensor interface mechanisms.'",235,'10.1109/ISWC.1998.729534','International Symposium on Wearable Computers - ISWC'
138,144499,'Explaining collaborative filtering recommendations',"'Automated collaborative filtering  (ACF) systems predict a person's affinity for items or information by connecting that person's recorded interests with the recorded interests of a community of people and sharing ratings between like-minded persons. However, current recommender systems are black boxes, providing no transparency into the working of the recommendation. Explanations provide that transparency, exposing the reasoning and data behind a recommendation. In this paper, we address explanation interfaces for ACF systems - how they should be implemented and why they should be implemented. To explore how, we present a model for explanations based on the user's conceptual model  of the recommendation process. We then present experimental results demonstrating what components of an  explanation are the most compelling. To address why, we present experimental evidence that shows that providing explanations can improve the acceptance of ACF systems. We also describe some initial explorations into measuring how explanations can improve the filtering performance of users.'",403,'10.1145/358916.358995','Conference on Computer Supported Cooperative Work - CSCW'
139,173009,'Silk from a sow's ear: extracting usable structures from the Web',"'In its current implementation, the World-Wide Web lacks much of the explicit structure and strong typing found in many closed hypertext systems. While this property probably relates to the explosive acceptance of the Web, it further complicates the already difficult problem of identifying usable structures and aggregates in large hypertext collections. These reduced structures, or localities, form the basis for simplifying visualizations of and navigation through complex hypertext systems. Much of the previous research into identifying aggregates utilize graph theoretic algorithms based upon structural topology, i.e., the linkages between items. Other research has focused on content analysis  to form document collections. This paper presents our exploration into techniques that utilize both the topology and textual similarity between items as well as usage data collected by servers and page meta-information lke title and size. Linear equations  and spreading activation  models are employed to arrange Web pages  based upon functional categories, node types, and relevancy.'",317,'10.1145/238386.238450','Computer Human Interaction - CHI'
140,173527,'Fast multiresolution image querying',"'We present a method for searching in an image database  using a query image that is similar to the intended target. The query im- age may be a hand-drawn sketch or a (potentially low-quality) scan of the image to be retrieved. Our searching algorithm makes use of multiresolution wavelet decompositions of the query and database images. The coefficients of these decompositions are distilled into small ""signatures"" for each image. We introduce an ""image query- ing metric"" that operates on these signatures. This metric essentially compares how many significant wavelet coefficients the query has in common with potential targets. The metric includes parameters that can be tuned, using a statistical analysis, to accommodate the kinds of image distortions found in different types of image queries. The resulting algorithm is simple, requires very little storage overhead for the database of signatures, and is fast enough to be performed on a database of 20,000 images at interactive rates (on standard desktop machines) as a query is sketched. Our experiments with hundreds of queries in databases of 1000 and 20,000 images show dramatic improvement, in both speed and success rate, over using a conven- tional L1, L2, or color histogram  norm.'",441,'10.1145/218380.218454','Annual Conference on Computer Graphics - SIGGRAPH'
141,186694,'An Empirical Model of HTTP Network Traffic',"'The workload of the global Internet is dominated by the Hypertext T ransfer Protocol (HTTP), an application protocol used by World Wide Web  clients and servers. Simulation studies of this envi- ronment will require a model of the traf fic patterns of the World Wide Web, in order to investigate the performance aspects of this increasingly popular application. W e have developed an empirical model  of network traffic  produced by HTTP. Instead of relying on server or client logs, our approach is based on gathering packet traces of HTTP network conversations. Through traf fic anal- ysis, we have determined statistics and distributions for higher -level quantities such as the size of HTTP items retrieved, the number of items per ""W eb page"", think time, and user browsing behav- ior. These quantities form a model can then be used by simulations to mimic World Wide Web  net- work applications in wide-area IP internetworks.'",348,'10.1109/INFCOM.1997.644510','IEEE INFOCOM - INFOCOM'
